CODE,STATE,COUNTY,FIPS,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA,,CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B TOTAL REIMBURSEMENT
24760,MINNESOTA,TODD,27153,1667.00,7514731.00,375.66,7270559.00,363.46,111168.00,79930.00,53071.00,1440.00,7383038.00,427.26,,24760,MINNESOTA,TODD,10620286.00,10387907.00,116360.00,116019.00,0.00,10400442.00
24770,MINNESOTA,TRAVERSE,27155,523.00,2107184.00,335.75,1972150.00,314.24,82411.00,37144.00,15474.00,480.00,3277058.00,568.93,,24770,MINNESOTA,TRAVERSE,1440422.00,1381095.00,36585.00,22741.00,0.00,1323899.00
24780,MINNESOTA,WABASHA,27157,2378.00,9830398.00,344.49,8322030.00,291.63,950696.00,68088.00,489580.00,2056.00,9882728.00,400.56,,24780,MINNESOTA,WABASHA,10108502.00,9201736.00,837468.00,69297.00,0.00,7908125.00
24790,MINNESOTA,WADENA,27159,1438.00,5335090.00,309.17,5185565.00,300.51,61844.00,58641.00,29039.00,1252.00,5675923.00,377.79,,24790,MINNESOTA,WADENA,6689647.00,6521856.00,86967.00,80824.00,0.00,6810297.00
24800,MINNESOTA,WASECA,27161,1493.00,5511881.00,307.65,4959376.00,276.81,279150.00,73500.00,199853.00,1256.00,5440273.00,360.95,,24800,MINNESOTA,WASECA,7992649.00,7473477.00,427084.00,92088.00,0.00,4267452.00
24810,MINNESOTA,WASHINGTON,27163,9257.00,33954313.00,305.66,30842933.00,277.65,1570655.00,771851.00,768871.00,7310.00,35185260.00,401.11,,24810,MINNESOTA,WASHINGTON,38683051.00,36086837.00,1675625.00,920589.00,0.00,24926445.00
24820,MINNESOTA,WATONWAN,27165,1248.00,6121614.00,408.76,5798284.00,387.17,188874.00,46643.00,87810.00,1107.00,5505500.00,414.45,,24820,MINNESOTA,WATONWAN,4265063.00,4072459.00,151000.00,41604.00,0.00,3339233.00
24830,MINNESOTA,WILKIN,27167,627.00,2308453.00,306.81,2208536.00,293.53,36254.00,37244.00,26416.00,535.00,2357059.00,367.14,,24830,MINNESOTA,WILKIN,2459795.00,2338593.00,77405.00,43797.00,0.00,1900055.00
24840,MINNESOTA,WINONA,27169,4959.00,18348343.00,308.33,16572823.00,278.50,1125618.00,222656.00,427245.00,4370.00,20898423.00,398.52,,24840,MINNESOTA,WINONA,8432438.00,7836615.00,496573.00,99250.00,0.00,8475418.00
24850,MINNESOTA,WRIGHT,27171,6739.00,26010769.00,321.64,24697417.00,305.40,570263.00,463334.00,279751.00,5365.00,26557397.00,412.51,,24850,MINNESOTA,WRIGHT,34330780.00,33110528.00,643003.00,577249.00,0.00,20039623.00
24860,MINNESOTA,YELLOW MEDICINE,27173,1333.00,6241840.00,390.21,6039537.00,377.57,97985.00,63679.00,40635.00,1168.00,6497293.00,463.56,,24860,MINNESOTA,YELLOW MEDICINE,3581797.00,3504119.00,38041.00,39637.00,0.00,4588216.00
